"folder";"sys.info[0]";"sys.info[1]";"sys.info[2]";"lineno"
"/workspaces/simulation_management/VSM";"length issue: 13, 13, 0, 13, 13, 13";"";"";""
"/workspaces/simulation_management/VSM/VSM.Client";"length issue: 7, 7, 0, 7, 7, 7";"";"";""
"/workspaces/simulation_management/VSM/VSM";"length issue: 4, 4, 0, 4, 4, 4";"";"";""
"/workspaces/simulation_management/VSM/server";"length issue: 14, 14, 0, 14, 14, 14";"";"";""
"/workspaces/simulation_management/VSM/.venv";"length issue: 1, 1, 0, 1, 1, 1";"";"";""
"/workspaces/simulation_management/VSM/.vscode";"length issue: 4, 4, 0, 4, 4, 4";"";"";""
"/workspaces/simulation_management/VSM/output/_Temp";"length issue: 1, 1, 0, 1, 1, 1";"";"";""
"/workspaces/simulation_management/VSM/VSM.Client/wwwroot";"length issue: 6, 6, 0, 6, 6, 6";"";"";""
"/workspaces/simulation_management/VSM/VSM.Client/Properties";"length issue: 1, 1, 0, 1, 1, 1";"";"";""
"/workspaces/simulation_management/VSM/VSM.Client/Models";"length issue: 5, 5, 0, 5, 5, 5";"";"";""
"/workspaces/simulation_management/VSM/VSM.Client/Pages";"length issue: 11, 11, 0, 11, 11, 11";"";"";""
"/workspaces/simulation_management/VSM/VSM.Client/obj";"length issue: 5, 5, 0, 5, 5, 5";"";"";""
"/workspaces/simulation_management/VSM/VSM.Client/API";"length issue: 1, 1, 0, 1, 1, 1";"";"";""
"/workspaces/simulation_management/VSM/VSM.Client/Layout";"length issue: 2, 2, 0, 2, 2, 2";"";"";""
"/workspaces/simulation_management/VSM/VSM.Client/.vscode";"length issue: 3, 3, 0, 3, 3, 3";"";"";""
"/workspaces/simulation_management/VSM/VSM/Components";"length issue: 3, 3, 0, 3, 3, 3";"";"";""
"/workspaces/simulation_management/VSM/VSM/wwwroot";"length issue: 2, 2, 0, 2, 2, 2";"";"";""
"/workspaces/simulation_management/VSM/VSM/Properties";"length issue: 1, 1, 0, 1, 1, 1";"";"";""
"/workspaces/simulation_management/VSM/VSM/obj";"length issue: 5, 5, 0, 5, 5, 5";"";"";""
"/workspaces/simulation_management/VSM/razor_backup/Pages";"length issue: 2, 2, 0, 2, 2, 2";"";"";""
"/workspaces/simulation_management/VSM/server/.pytest_cache";"length issue: 3, 3, 0, 3, 3, 3";"";"";""
"/workspaces/simulation_management/VSM/server/cleanup_cycle";"length issue: 6, 6, 0, 6, 6, 6";"";"";""
"/workspaces/simulation_management/VSM/server/datamodel";"length issue: 4, 4, 0, 4, 4, 4";"";"";""
"/workspaces/simulation_management/VSM/server/db";"length issue: 3, 3, 0, 3, 3, 3";"";"";""
"/workspaces/simulation_management/VSM/server/app";"length issue: 5, 5, 0, 5, 5, 5";"";"";""
